prediction;test_price
28.1;28.78
28.49;28.81
28.59;28.14
28.59;28.2
28.22;28.74
28.15;29.0
28.32;28.63
28.61;28.29
28.47;28.28
28.37;28.16
28.35;27.78
28.31;27.72
28.08;27.16
27.82;27.18
27.49;26.64
27.38;26.31
26.81;26.76
26.46;26.45
26.6;26.48
26.55;26.04
26.6;26.02
26.42;25.1
26.3;24.87
25.55;24.53
25.16;24.88
24.86;25.5
24.9;25.02
25.21;25.62
24.99;25.12
25.41;25.66
25.11;26.03
25.55;26.75
25.87;26.96
26.34;26.23
26.66;27.48
26.28;27.67
26.74;28.02
27.07;27.85
27.42;27.94
27.41;28.6
27.6;28.19
28.06;28.34
27.93;28.08
28.01;28.42
27.76;28.15
28.21;28.41
27.99;28.69
27.98;28.69
28.15;28.88
28.28;28.39
28.53;28.27
28.36;28.27
28.33;27.8
28.42;27.6
28.09;27.26
27.78;26.83
27.54;26.57
27.17;27.21
26.67;27.4
27.05;27.33
27.29;26.85
27.27;26.57
26.95;27.67
26.66;27.25
27.34;27.83
27.17;27.95
27.65;27.99
27.64;27.71
27.72;27.37
27.5;27.04
27.26;27.37
26.87;27.84
26.95;27.53
27.38;27.51
27.26;27.25
27.28;27.5
27.26;27.1
27.17;26.91
27.04;27.35
26.85;26.33
27.16;26.21
26.51;26.11
26.31;26.45
26.2;26.85
26.31;27.33
26.75;27.44
27.27;27.3
27.57;27.6
27.46;27.86
27.64;28.23
27.92;28.29
28.09;28.58
28.22;28.29
28.37;29.05
28.33;29.22
28.82;29.04
29.05;29.42
29.01;30.27
29.2;30.15
29.89;29.92
29.93;30.33
29.84;29.95
29.91;30.36
29.64;30.52
29.96;30.45
30.08;30.29
30.2;29.74
30.04;29.36
29.58;29.32
29.15;28.99
29.07;29.35
28.91;29.54
29.09;29.49
29.29;29.31
29.22;29.05
29.15;28.95
29.09;29.97
29.0;30.09
29.55;28.8
29.76;28.95
29.12;29.51
29.03;29.02
29.41;29.0
29.18;29.6
29.07;29.36
29.54;28.88
29.48;28.74
29.19;28.69
28.82;27.86
28.78;28.26
28.17;28.11
28.31;28.34
28.25;27.51
28.31;27.54
27.84;27.22
27.74;27.09
27.31;26.79
27.22;26.96
27.03;26.24
27.06;26.13
26.37;25.77
26.28;25.82
25.82;25.47
25.61;25.39
25.48;25.67
25.48;26.55
25.49;27.22
26.17;26.96
26.88;26.6
26.74;26.53
26.44;27.17
26.44;27.06
26.72;27.13
26.69;26.61
26.81;26.97
26.54;27.63
26.63;26.48
27.12;26.24
26.59;26.49
26.38;27.31
26.46;27.41
26.93;26.97
27.13;27.94
26.83;28.61
27.4;28.06
28.05;27.69
27.83;28.2
27.59;28.35
27.86;27.99
28.09;27.7
27.95;27.76
27.75;27.77
27.61;28.09
27.66;27.57
27.85;27.66
27.49;27.71
27.55;28.43
27.5;28.22
28.05;28.3
28.13;28.36
28.12;27.51
28.14;27.36
27.52;28.72
27.24;28.29
28.2;28.59
28.14;28.74
28.46;29.01
28.59;28.23
28.8;28.36
28.24;28.08
28.16;29.17
27.96;30.0
28.67;28.71
29.37;28.38
28.73;27.72
28.44;28.33
27.87;28.57
28.15;25.94
28.45;26.77
26.77;26.76
26.97;26.14
26.7;25.77
26.27;24.65
25.89;23.18
24.98;22.4
23.83;20.76
23.02;20.1
21.64;23.31
20.62;22.4
22.64;20.39
22.78;21.17
21.45;21.59
21.42;23.16
21.62;22.08
23.0;20.11
22.43;20.41
21.07;19.72
20.84;18.64
20.29;20.86
19.32;20.91
20.45;22.1
20.63;22.6
21.63;21.84
22.38;22.7
21.81;21.14
22.3;19.9
21.62;20.38
20.41;19.26
20.42;19.0
19.52;17.59
19.16;18.89
18.22;18.39
18.74;17.22
18.55;18.03
17.9;17.4
18.19;16.34
18.06;18.42
17.33;19.37
18.05;19.22
19.23;19.63
19.3;19.65
19.69;17.74
19.87;18.72
18.57;19.14
19.05;19.01
19.31;19.86
19.23;21.74
20.03;20.53
21.27;20.68
20.87;20.21
20.8;20.02
20.25;20.16
19.95;21.06
20.11;20.88
20.59;20.21
20.85;19.86
20.19;19.42
19.88;19.35
20.01;19.47
19.78;19.64
19.58;19.01
19.7;19.9
19.19;20.09
19.49;21.18
20.0;20.81
20.73;21.53
20.67;20.52
21.44;20.28
20.89;19.75
20.61;19.36
20.21;18.77
19.9;18.42
19.35;18.91
18.83;19.0
19.05;17.92
19.32;18.8
18.69;18.57
19.05;18.25
19.03;18.47
18.81;18.82
